StudentID,Student Name,Student Gender,Student Age,Student Class,Mother Name,Father Name,Contact Phone Number,Assigned Mentor,Mentor Phone Number
RJ_2075,Siya Gupta,Female,16,10,Sneha Reddy,Arjun Gupta,"=""7385138778""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2076,Aditya Khan,Male,18,12,Isha Sharma,Sai Sharma,"=""6671792459""",Ms. Pooja Verma,"=""9876543213"""
RJ_2077,Ishaan Khan,Male,12,6,Ananya Verma,Aryan Kumar,"=""9169665437""",Mr. Amit Singh,"=""9876543212"""
RJ_2078,Arjun Reddy,Male,16,10,Riya Verma,Sai Khan,"=""9346345473""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2079,Sai Khan,Male,8,2,Kavya Jain,Rohan Shah,"=""9351976771""",Mr. Amit Singh,"=""9876543212"""
RJ_2080,Diya Patel,Female,13,8,Tara Jain,Rohan Khan,"=""9431276729""",Ms. Pooja Verma,"=""9876543213"""
RJ_2081,Rohan Shah,Male,7,1,Ananya Kumar,Aditya Shah,"=""6375764940""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2082,Rohan Reddy,Male,17,11,Priya Singh,Arjun Sharma,"=""6411304369""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2083,Aisha Shah,Female,16,11,Isha Jain,Sai Kumar,"=""9731224088""",Mr. Amit Singh,"=""9876543212"""
RJ_2084,Isha Patel,Female,9,4,Priya Jain,Reyansh Shah,"=""7170644211""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2085,Diya Khan,Female,14,8,Sneha Reddy,Reyansh Reddy,"=""7397210348""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2086,Arjun Verma,Male,15,10,Tara Khan,Ishaan Patel,"=""7888663129""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2087,Sai Kumar,Male,13,7,Riya Reddy,Vihaan Verma,"=""6943881659""",Mr. Amit Singh,"=""9876543212"""
RJ_2088,Aarav Gupta,Male,15,9,Kavya Gupta,Sai Kumar,"=""7565921743""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2089,Aditya Verma,Male,8,2,Ananya Patel,Aarav Patel,"=""9854722652""",Mr. Amit Singh,"=""9876543212"""
RJ_2090,Aarav Kumar,Male,17,11,Siya Shah,Kabir Patel,"=""9273593277""",Mr. Amit Singh,"=""9876543212"""
RJ_2091,Kavya Verma,Female,12,6,Riya Kumar,Kabir Verma,"=""6151543958""",Ms. Pooja Verma,"=""9876543213"""
RJ_2092,Aarav Verma,Male,14,9,Sneha Kumar,Rohan Singh,"=""9202668318""",Ms. Pooja Verma,"=""9876543213"""
RJ_2093,Sai Patel,Male,7,1,Tara Jain,Arjun Kumar,"=""6211149080""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2094,Isha Patel,Female,10,4,Priya Singh,Vihaan Singh,"=""9542871769""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2095,Tara Sharma,Female,11,6,Aisha Patel,Aarav Singh,"=""7939510210""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2096,Rohan Patel,Male,10,5,Ananya Singh,Rohan Kumar,"=""6444027558""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2097,Diya Singh,Female,8,2,Riya Sharma,Kabir Shah,"=""6205980054""",Mr. Amit Singh,"=""9876543212"""
RJ_2098,Diya Verma,Female,15,10,Tara Shah,Aarav Gupta,"=""9828829115""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2099,Sneha Sharma,Female,15,10,Priya Kumar,Reyansh Gupta,"=""8428119429""",Mr. Amit Singh,"=""9876543212"""
RJ_2100,Siya Khan,Female,16,11,Diya Jain,Reyansh Reddy,"=""7737412086""",Ms. Pooja Verma,"=""9876543213"""
RJ_2101,Kabir Sharma,Male,14,8,Priya Verma,Rohan Reddy,"=""9740018733""",Ms. Pooja Verma,"=""9876543213"""
RJ_2102,Ananya Khan,Female,15,9,Tara Shah,Aditya Singh,"=""8762147584""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2103,Aryan Kumar,Male,16,10,Isha Sharma,Aryan Gupta,"=""6191272008""",Ms. Pooja Verma,"=""9876543213"""
RJ_2104,Diya Patel,Female,9,4,Tara Reddy,Sai Shah,"=""6795638300""",Mr. Amit Singh,"=""9876543212"""
RJ_2105,Sneha Verma,Female,17,12,Siya Patel,Aryan Reddy,"=""9375572978""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2106,Ishaan Patel,Male,10,4,Ananya Gupta,Aditya Verma,"=""9129427125""",Mr. Amit Singh,"=""9876543212"""
RJ_2107,Aisha Reddy,Female,13,7,Ananya Gupta,Aryan Sharma,"=""8718453907""",Mr. Amit Singh,"=""9876543212"""
RJ_2108,Arjun Reddy,Male,15,10,Aisha Khan,Aarav Singh,"=""7950540178""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2109,Rohan Jain,Male,10,4,Kavya Gupta,Aarav Gupta,"=""8324999147""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2110,Rohan Singh,Male,10,4,Ananya Singh,Aditya Verma,"=""9454112257""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2111,Siya Sharma,Female,12,6,Kavya Reddy,Arjun Verma,"=""7434873144""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2112,Sai Gupta,Male,17,11,Aisha Khan,Arjun Verma,"=""8288271775""",Ms. Pooja Verma,"=""9876543213"""
RJ_2113,Rohan Shah,Male,17,11,Aisha Sharma,Aarav Singh,"=""8858492670""",Ms. Pooja Verma,"=""9876543213"""
RJ_2114,Tara Kumar,Female,15,10,Isha Sharma,Aryan Gupta,"=""7868893012""",Mr. Amit Singh,"=""9876543212"""
RJ_2115,Aarav Jain,Male,15,10,Tara Jain,Arjun Jain,"=""8495049686""",Ms. Pooja Verma,"=""9876543213"""
RJ_2116,Priya Khan,Female,14,8,Diya Patel,Arjun Shah,"=""6520468108""",Mr. Amit Singh,"=""9876543212"""
RJ_2117,Siya Jain,Female,10,5,Diya Verma,Aryan Gupta,"=""7438250581""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2118,Ishaan Khan,Male,16,10,Sneha Shah,Aarav Reddy,"=""9643745454""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2119,Ishaan Reddy,Male,15,10,Aisha Shah,Sai Reddy,"=""9663522278""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2120,Ananya Khan,Female,15,9,Priya Sharma,Vihaan Gupta,"=""7154759692""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2121,Aditya Jain,Male,15,9,Aisha Reddy,Kabir Singh,"=""7771266453""",Mr. Amit Singh,"=""9876543212"""
RJ_2122,Sneha Sharma,Female,9,4,Siya Jain,Kabir Verma,"=""9606243620""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2123,Kabir Singh,Male,17,11,Priya Kumar,Arjun Shah,"=""7518002695""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2124,Aisha Patel,Female,18,12,Aisha Jain,Reyansh Singh,"=""7215073278""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2125,Reyansh Sharma,Male,10,4,Riya Patel,Aryan Sharma,"=""9155302191""",Ms. Pooja Verma,"=""9876543213"""
RJ_2126,Kabir Verma,Male,11,5,Isha Shah,Aarav Jain,"=""6450087706""",Mr. Amit Singh,"=""9876543212"""
RJ_2127,Tara Singh,Female,15,9,Diya Gupta,Vihaan Verma,"=""7396635621""",Mr. Amit Singh,"=""9876543212"""
RJ_2128,Riya Patel,Female,13,8,Diya Patel,Rohan Jain,"=""9732797918""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2129,Arjun Patel,Male,7,2,Diya Verma,Aditya Kumar,"=""6146340262""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2130,Riya Sharma,Female,18,12,Diya Sharma,Arjun Shah,"=""8435441385""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2131,Isha Shah,Female,12,7,Aisha Reddy,Reyansh Reddy,"=""9693484852""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2132,Tara Singh,Female,13,8,Aisha Verma,Sai Shah,"=""6866783661""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2133,Aditya Verma,Male,9,3,Sneha Singh,Aarav Patel,"=""6938158387""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2134,Priya Kumar,Female,11,6,Tara Singh,Aryan Gupta,"=""8171467423""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2135,Kabir Kumar,Male,10,5,Isha Verma,Aarav Reddy,"=""9583784102""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2136,Vihaan Verma,Male,7,2,Aisha Gupta,Aryan Kumar,"=""7831719233""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2137,Sneha Gupta,Female,12,7,Kavya Gupta,Sai Singh,"=""8156045064""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2138,Sneha Kumar,Female,9,3,Tara Gupta,Aditya Kumar,"=""7504449947""",Mr. Amit Singh,"=""9876543212"""
RJ_2139,Vihaan Patel,Male,12,6,Diya Sharma,Ishaan Patel,"=""9479216560""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2140,Aarav Reddy,Male,15,9,Sneha Shah,Aditya Singh,"=""7577430267""",Ms. Pooja Verma,"=""9876543213"""
RJ_2141,Siya Khan,Female,13,7,Siya Verma,Kabir Patel,"=""7165489345""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2142,Kavya Verma,Female,17,12,Kavya Patel,Kabir Verma,"=""8324663543""",Ms. Pooja Verma,"=""9876543213"""
RJ_2143,Isha Sharma,Female,13,8,Sneha Kumar,Aarav Patel,"=""9890866534""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2144,Aarav Kumar,Male,13,7,Ananya Gupta,Aarav Reddy,"=""6164309261""",Mr. Amit Singh,"=""9876543212"""
RJ_2145,Aisha Verma,Female,16,11,Isha Patel,Arjun Jain,"=""7838891780""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2146,Diya Khan,Female,9,4,Priya Khan,Reyansh Verma,"=""9992449611""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2147,Ananya Singh,Female,8,3,Priya Verma,Ishaan Verma,"=""8407859799""",Mr. Amit Singh,"=""9876543212"""
RJ_2148,Aditya Singh,Male,7,2,Riya Verma,Rohan Patel,"=""9824215960""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2149,Aisha Verma,Female,14,9,Priya Gupta,Sai Reddy,"=""6537804196""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2150,Tara Khan,Female,6,1,Kavya Khan,Aarav Shah,"=""7425676560""",Mr. Amit Singh,"=""9876543212"""
RJ_2151,Aarav Kumar,Male,14,9,Kavya Sharma,Reyansh Kumar,"=""8428323845""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2152,Ishaan Reddy,Male,16,11,Diya Patel,Ishaan Reddy,"=""8325554028""",Mr. Amit Singh,"=""9876543212"""
RJ_2153,Tara Jain,Female,13,8,Siya Singh,Reyansh Jain,"=""9811415091""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2154,Aarav Patel,Male,11,5,Aisha Singh,Vihaan Patel,"=""7895830563""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2155,Isha Kumar,Female,12,6,Diya Shah,Aditya Khan,"=""8474190129""",Mr. Amit Singh,"=""9876543212"""
RJ_2156,Siya Jain,Female,8,2,Siya Gupta,Reyansh Jain,"=""7886337646""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2157,Riya Jain,Female,13,8,Diya Khan,Kabir Singh,"=""6722966214""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2158,Arjun Singh,Male,17,11,Aisha Reddy,Aryan Verma,"=""7850292990""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2159,Kavya Jain,Female,8,3,Riya Reddy,Sai Shah,"=""6452928581""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2160,Aisha Jain,Female,9,3,Sneha Sharma,Sai Reddy,"=""9294290658""",Mr. Amit Singh,"=""9876543212"""
RJ_2161,Aditya Kumar,Male,18,12,Riya Reddy,Sai Gupta,"=""8841261991""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2162,Riya Gupta,Female,16,10,Riya Reddy,Aditya Khan,"=""7382004722""",Ms. Pooja Verma,"=""9876543213"""
RJ_2163,Kavya Sharma,Female,8,2,Aisha Kumar,Rohan Reddy,"=""9822048437""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2164,Aisha Verma,Female,17,12,Tara Verma,Aryan Shah,"=""8836934223""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2165,Sai Reddy,Male,12,6,Ananya Sharma,Vihaan Verma,"=""9895214260""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2166,Diya Shah,Female,6,1,Diya Sharma,Kabir Verma,"=""8336368837""",Ms. Pooja Verma,"=""9876543213"""
RJ_2167,Diya Reddy,Female,12,6,Aisha Singh,Reyansh Singh,"=""6435409193""",Ms. Pooja Verma,"=""9876543213"""
RJ_2168,Reyansh Gupta,Male,15,10,Tara Jain,Sai Khan,"=""7201519564""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2169,Reyansh Shah,Male,17,11,Isha Verma,Sai Shah,"=""6400788490""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2170,Reyansh Khan,Male,16,10,Sneha Jain,Ishaan Verma,"=""9626081734""",Mr. Amit Singh,"=""9876543212"""
RJ_2171,Aisha Verma,Female,17,12,Sneha Shah,Kabir Jain,"=""8201603883""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2172,Reyansh Shah,Male,8,2,Sneha Gupta,Arjun Singh,"=""7496110048""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2173,Reyansh Gupta,Male,10,4,Kavya Kumar,Ishaan Patel,"=""7596191705""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2174,Aarav Singh,Male,11,6,Tara Gupta,Reyansh Gupta,"=""6516751420""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2175,Isha Kumar,Female,9,4,Riya Reddy,Kabir Verma,"=""6833367189""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2176,Isha Kumar,Female,13,8,Isha Khan,Kabir Kumar,"=""9195918452""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2177,Aditya Verma,Male,13,7,Sneha Shah,Vihaan Khan,"=""8988090507""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2178,Riya Shah,Female,16,11,Kavya Reddy,Aditya Patel,"=""7963989821""",Ms. Pooja Verma,"=""9876543213"""
RJ_2179,Ananya Verma,Female,7,1,Sneha Reddy,Kabir Sharma,"=""9482182553""",Mr. Amit Singh,"=""9876543212"""
RJ_2180,Sai Verma,Male,12,7,Aisha Sharma,Rohan Shah,"=""7743018480""",Mr. Amit Singh,"=""9876543212"""
RJ_2181,Sai Patel,Male,8,3,Kavya Patel,Vihaan Kumar,"=""7137297566""",Ms. Pooja Verma,"=""9876543213"""
RJ_2182,Tara Shah,Female,18,12,Sneha Gupta,Kabir Gupta,"=""6263933017""",Mr. Amit Singh,"=""9876543212"""
RJ_2183,Reyansh Kumar,Male,9,4,Isha Sharma,Rohan Sharma,"=""8932172667""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2184,Aditya Jain,Male,16,11,Priya Gupta,Arjun Verma,"=""8525298868""",Ms. Pooja Verma,"=""9876543213"""
RJ_2185,Sai Khan,Male,14,9,Sneha Gupta,Reyansh Khan,"=""9575599030""",Ms. Pooja Verma,"=""9876543213"""
RJ_2186,Tara Shah,Female,9,3,Kavya Patel,Aryan Khan,"=""9290794360""",Mr. Amit Singh,"=""9876543212"""
RJ_2187,Aryan Reddy,Male,15,9,Isha Jain,Reyansh Jain,"=""9721898883""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2188,Rohan Shah,Male,12,7,Kavya Reddy,Aarav Jain,"=""7961808570""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2189,Aryan Jain,Male,8,2,Sneha Patel,Aditya Gupta,"=""6518444369""",Ms. Pooja Verma,"=""9876543213"""
RJ_2190,Kavya Verma,Female,14,9,Priya Gupta,Arjun Reddy,"=""9832880283""",Mr. Amit Singh,"=""9876543212"""
RJ_2191,Diya Shah,Female,17,12,Diya Sharma,Rohan Kumar,"=""9922679826""",Ms. Pooja Verma,"=""9876543213"""
RJ_2192,Tara Verma,Female,11,5,Diya Singh,Aditya Patel,"=""6614860700""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2193,Arjun Patel,Male,8,2,Kavya Khan,Kabir Sharma,"=""8643601511""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2194,Aditya Singh,Male,10,4,Tara Reddy,Kabir Verma,"=""6440348826""",Ms. Pooja Verma,"=""9876543213"""
RJ_2195,Sai Patel,Male,9,3,Riya Jain,Aarav Singh,"=""6194827157""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2196,Aryan Singh,Male,10,4,Riya Reddy,Reyansh Khan,"=""8729360931""",Mr. Amit Singh,"=""9876543212"""
RJ_2197,Aarav Shah,Male,8,2,Priya Kumar,Vihaan Patel,"=""8122149243""",Mr. Amit Singh,"=""9876543212"""
RJ_2198,Aditya Verma,Male,17,12,Aisha Patel,Arjun Patel,"=""8192666889""",Mr. Amit Singh,"=""9876543212"""
RJ_2199,Isha Sharma,Female,7,1,Aisha Sharma,Reyansh Singh,"=""6138092720""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2200,Kabir Jain,Male,8,3,Sneha Patel,Vihaan Singh,"=""7346884981""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2201,Aryan Kumar,Male,10,5,Aisha Kumar,Aarav Reddy,"=""9344399712""",Ms. Pooja Verma,"=""9876543213"""
RJ_2202,Aisha Singh,Female,6,1,Sneha Gupta,Sai Gupta,"=""9595672310""",Mr. Amit Singh,"=""9876543212"""
RJ_2203,Sneha Reddy,Female,17,11,Isha Patel,Reyansh Kumar,"=""9628368069""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2204,Sai Kumar,Male,15,10,Tara Reddy,Aarav Jain,"=""6337636090""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2205,Aarav Shah,Male,14,9,Riya Patel,Reyansh Kumar,"=""7811057346""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2206,Reyansh Jain,Male,7,2,Riya Sharma,Rohan Patel,"=""8781590897""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2207,Aisha Patel,Female,17,12,Tara Gupta,Rohan Jain,"=""9460637091""",Ms. Pooja Verma,"=""9876543213"""
RJ_2208,Sai Patel,Male,11,6,Siya Reddy,Vihaan Patel,"=""9131515192""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2209,Tara Shah,Female,6,1,Tara Reddy,Rohan Singh,"=""7564666301""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2210,Priya Singh,Female,7,1,Diya Reddy,Vihaan Gupta,"=""9614458720""",Mr. Amit Singh,"=""9876543212"""
RJ_2211,Rohan Gupta,Male,18,12,Isha Gupta,Kabir Jain,"=""7967336721""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2212,Aarav Singh,Male,15,10,Siya Verma,Arjun Gupta,"=""7668696098""",Ms. Pooja Verma,"=""9876543213"""
RJ_2213,Riya Sharma,Female,17,12,Tara Patel,Aryan Verma,"=""6872770884""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2214,Vihaan Kumar,Male,10,5,Siya Verma,Sai Gupta,"=""6289845282""",Mr. Amit Singh,"=""9876543212"""
RJ_2215,Aryan Jain,Male,17,11,Siya Jain,Vihaan Gupta,"=""9440952175""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2216,Vihaan Kumar,Male,13,8,Diya Verma,Aditya Reddy,"=""8845315591""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2217,Isha Khan,Female,6,1,Aisha Shah,Aryan Verma,"=""8725282079""",Ms. Pooja Verma,"=""9876543213"""
RJ_2218,Aditya Jain,Male,16,11,Ananya Singh,Arjun Kumar,"=""9183086610""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2219,Aarav Sharma,Male,16,11,Riya Singh,Aryan Jain,"=""9284835696""",Mr. Amit Singh,"=""9876543212"""
RJ_2220,Aisha Khan,Female,10,5,Riya Patel,Sai Shah,"=""8202449521""",Mr. Amit Singh,"=""9876543212"""
RJ_2221,Sneha Gupta,Female,6,1,Aisha Reddy,Arjun Sharma,"=""6267225587""",Mr. Rajesh Kumar,"=""9876543210"""
